"","atrichum undulatum","brachythecium rutabulum","bryum capillare","ceratodon purpureus","dicranella heteromalla","dicranum scoparium","ditrichum heteromalla cf","eurhynchium praelongum","eurhynchium striatum","frullania dilatata","herzogiella seligeri","hylocomium splendens","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","metzgeria simplex","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiomnium affine","plagiomnium affine cf.","plagiomnium undulatum","plagiothecium laetum","pleurozium schreberi","polytrichum formosum","rhizomnium punctatum","rhytidiadelphus squarrosus","scapania nemorosa cf.","scleropodium purum","thuidium tamariscinum","ulota crispa","x"
"CL_P25",0,2.5,0,0,0,2.5,0,0,2.5,0,0,37.5,14.5,0,0,0,0,0,0.1,0,0,0,0,0.1,0.3,0,32.5,0,0.5,0.3,0,0
"FS_P04",0,7.55,0,0,0,0.1,0,0,0,0.1,0,0,38.75,0,0,0.1,0.5,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
"FS_P05",0,0.5,0,0,0,0,0,0.1,0,0,0,0,21.8333333333333,0,0,0.3,0,0,7.75,0,0,0,62.5,0,0,0,0,0,0,0,0,0
"FS_P06",0.5,16.5,0,0,0,0.1,0,0.5,0,0,0,0,19.0714285714286,0,0,0,0.1,0,10.1666666666667,0,0,0.5,0,0,0.3,0,0,0,0,0,0,0
"LD_P21",0,0,0,0.5,0,0.3,0,0,0,0,0,0,32.5,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,15,0,7.55,0,0,0
"PA_P27",0,37.5,0,0,0,0.3,0,0,2.5,0,0,0,21.0333333333333,0,0,0,0,0.1,0,0,0,15,0,0,2.5,0,0,0,2.5,0,0,0
"PA_P28",0.1,29.3666666666667,0,0,0,0,0,0.1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA_P29",62.5,2.5,0,0,0.1,0,0,0,0,0,0,0,5.33333333333333,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
"PM_P17",0.1,0.1,0,0,0,0.1,0,0.5,2.5,0,0.1,0,20.125,0,0,0,0,0.1,1.03333333333333,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1
"PM_P18",0,0,0,0,0,0,0,0,0.1,0,0.1,0,43.8,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"PM_P19",0.1,0.1,0,0,0,0.1,0,0,2.5,0,0.1,0,45,0,0,0,0,0,0,0.1,0,0,0,0,2.5,15,7.55,0,2.5,0,0,0
"PM_P20",0,0,0,0,0,0.5,0.1,0.1,5.33333333333333,0,0.1,0,45,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.1,0,15,0,0,0
"QP_P02",0,12.7,0,0,0,0.3,0,0,0,0,0,0,40.6,0.1,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1
"QP_P03",0.1,13.775,0.1,0,0,0.1,0,0,0,0,0,0,13.575,7.65,21.7,0,0,0,6.54,0,0,0,0,0,0.1,0,0,0,0,0,0,7.66
"QP_P22",0.5,5.2,0,0,0,0.1,0,0,0,0,0,0,23.52,0,0,0,0.1,0.3,0.3,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"QP_P23",0.5,5.33333333333333,0,0,0,0,0,0,0,0.1,0,0,18.6,2.5,0,0,0,0,1.5,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0
"QP_P24",0.1,12.7,0,0,0,0.1,0,0,0,0,0,0,41.25,0,0,0,0,0.1,0.1,0,0,0,0,0,2.5,0,0,0,0,0,0,0
"XX_P26",0,7.75,0,0,0,0,0,2.5,2.5,0,0,0,14.375,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
