"","atrichum undulatum","brachythecium rutabulum","ceratodon purpureus","dicranella heteromalla","dicranum scoparium","ditrichum heteromalla cf","eurhynchium praelongum","eurhynchium striatum","herzogiella seligeri","hypnum cupressiforme","isothecium myosuroides","metzgeria furcata","mnium hornum","ortho dicranum montanum","orthotrichum affine","plagiomnium affine","plagiothecium laetum","polytrichum formosum","rhytidiadelphus squarrosus","scleropodium purum","thuidium tamariscinum"
"CL_P25",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"FS_P04",0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"FS_P05",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"FS_P06",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"LD_P21",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"PA_P27",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PA_P28",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PA_P29",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PM_P17",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"PM_P18",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
"PM_P19",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"PM_P20",0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"QP_P02",0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"QP_P03",0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0
"QP_P22",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"QP_P23",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"QP_P24",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"XX_P26",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
